Date : 2023-06-07 02:50:02
Directory : d:\Flutter Application\book_store\lib
Total : 158 files,  14688 codes, 46 comments, 1062 blanks, all 15796 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        158 |     14,688 |         46 |      1,062 |     15,796 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        158 |     14,688 |         46 |      1,062 |     15,796 |
| . (Files)                                                                                          |          3 |        356 |         12 |         23 |        391 |
| AddressSetting                                                                                     |          6 |        612 |          8 |         59 |        679 |
| AddressSetting\bloc                                                                                |          3 |        157 |          8 |         43 |        208 |
| AddressSetting\ui                                                                                  |          3 |        455 |          0 |         16 |        471 |
| Authentication Service                                                                             |          1 |         60 |          1 |          9 |         70 |
| Cart                                                                                               |          7 |      1,058 |          1 |         65 |      1,124 |
| Cart\bloc                                                                                          |          3 |        255 |          0 |         46 |        301 |
| Cart\ui                                                                                            |          4 |        803 |          1 |         19 |        823 |
| Category                                                                                           |         26 |      1,236 |          2 |        147 |      1,385 |
| Category (Files)                                                                                   |          2 |        178 |          0 |         11 |        189 |
| Category\ChildCategory                                                                             |          4 |        176 |          0 |         23 |        199 |
| Category\ChildCategory\bloc                                                                        |          3 |         76 |          0 |         18 |         94 |
| Category\ChildCategory\ui                                                                          |          1 |        100 |          0 |          5 |        105 |
| Category\ComicCategory                                                                             |          4 |        176 |          0 |         23 |        199 |
| Category\ComicCategory\bloc                                                                        |          3 |         76 |          0 |         18 |         94 |
| Category\ComicCategory\ui                                                                          |          1 |        100 |          0 |          5 |        105 |
| Category\LiteratureCategory                                                                        |          4 |        177 |          2 |         24 |        203 |
| Category\LiteratureCategory\bloc                                                                   |          3 |         76 |          2 |         19 |         97 |
| Category\LiteratureCategory\ui                                                                     |          1 |        101 |          0 |          5 |        106 |
| Category\OtherCategory                                                                             |          4 |        176 |          0 |         22 |        198 |
| Category\OtherCategory\bloc                                                                        |          3 |         76 |          0 |         17 |         93 |
| Category\OtherCategory\ui                                                                          |          1 |        100 |          0 |          5 |        105 |
| Category\SGKCategory                                                                               |          4 |        176 |          0 |         21 |        197 |
| Category\SGKCategory\bloc                                                                          |          3 |         76 |          0 |         17 |         93 |
| Category\SGKCategory\ui                                                                            |          1 |        100 |          0 |          4 |        104 |
| Category\ScienceCategory                                                                           |          4 |        177 |          0 |         23 |        200 |
| Category\ScienceCategory\bloc                                                                      |          3 |         76 |          0 |         18 |         94 |
| Category\ScienceCategory\ui                                                                        |          1 |        101 |          0 |          5 |        106 |
| Checkout                                                                                           |          9 |      2,123 |          2 |        109 |      2,234 |
| Checkout\bloc                                                                                      |          3 |        411 |          2 |         70 |        483 |
| Checkout\ui                                                                                        |          6 |      1,712 |          0 |         39 |      1,751 |
| CustomWidget                                                                                       |          9 |        596 |          0 |         31 |        627 |
| DemoData                                                                                           |          1 |      1,006 |          8 |          5 |      1,019 |
| Favorite                                                                                           |          5 |        350 |          0 |         40 |        390 |
| Favorite\bloc                                                                                      |          3 |        113 |          0 |         34 |        147 |
| Favorite\ui                                                                                        |          2 |        237 |          0 |          6 |        243 |
| Home                                                                                               |          6 |        330 |          0 |         30 |        360 |
| Home\bloc                                                                                          |          3 |         60 |          0 |         19 |         79 |
| Home\ui                                                                                            |          3 |        270 |          0 |         11 |        281 |
| Login_Register                                                                                     |          4 |        978 |          8 |         35 |      1,021 |
| Notification                                                                                       |          1 |         10 |          0 |          3 |         13 |
| OrderBill                                                                                          |          5 |        625 |          0 |         26 |        651 |
| OrderBill\bloc                                                                                     |          3 |         52 |          0 |         20 |         72 |
| OrderBill\ui                                                                                       |          2 |        573 |          0 |          6 |        579 |
| ProductDetail                                                                                      |          7 |        774 |          0 |         43 |        817 |
| ProductDetail\bloc                                                                                 |          3 |        112 |          0 |         28 |        140 |
| ProductDetail\ui                                                                                   |          4 |        662 |          0 |         15 |        677 |
| Profile                                                                                            |          7 |        988 |          3 |         45 |      1,036 |
| Profile\bloc                                                                                       |          3 |        134 |          3 |         31 |        168 |
| Profile\ui                                                                                         |          4 |        854 |          0 |         14 |        868 |
| SearchPage                                                                                         |          7 |        392 |          0 |         54 |        446 |
| SearchPage\bloc                                                                                    |          3 |        134 |          0 |         39 |        173 |
| SearchPage\ui                                                                                      |          4 |        258 |          0 |         15 |        273 |
| Transaction                                                                                        |         36 |      2,648 |          1 |        255 |      2,904 |
| Transaction\AwaitPickup                                                                            |          5 |        242 |          0 |         44 |        286 |
| Transaction\AwaitPickup\bloc                                                                       |          3 |        134 |          0 |         37 |        171 |
| Transaction\AwaitPickup\ui                                                                         |          2 |        108 |          0 |          7 |        115 |
| Transaction\Cancelled                                                                              |          5 |        234 |          0 |         39 |        273 |
| Transaction\Cancelled\bloc                                                                         |          3 |        114 |          0 |         32 |        146 |
| Transaction\Cancelled\ui                                                                           |          2 |        120 |          0 |          7 |        127 |
| Transaction\Delivered                                                                              |          5 |        243 |          0 |         39 |        282 |
| Transaction\Delivered\bloc                                                                         |          3 |        114 |          0 |         32 |        146 |
| Transaction\Delivered\ui                                                                           |          2 |        129 |          0 |          7 |        136 |
| Transaction\Delivering                                                                             |          5 |        292 |          1 |         45 |        338 |
| Transaction\Delivering\bloc                                                                        |          3 |        151 |          1 |         38 |        190 |
| Transaction\Delivering\ui                                                                          |          2 |        141 |          0 |          7 |        148 |
| Transaction\Unconfirmed                                                                            |          5 |        242 |          0 |         43 |        285 |
| Transaction\Unconfirmed\bloc                                                                       |          3 |        134 |          0 |         36 |        170 |
| Transaction\Unconfirmed\ui                                                                         |          2 |        108 |          0 |          7 |        115 |
| Transaction\ui                                                                                     |         11 |      1,395 |          0 |         45 |      1,440 |
| bloc                                                                                               |          3 |         69 |          0 |         20 |         89 |
| models                                                                                             |         13 |        448 |          0 |         55 |        503 |
| utils                                                                                              |          2 |         29 |          0 |          8 |         37 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_bloc.dart                        | Dart     |        121 |          8 |         23 |        152 |
| d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_event.dart                       | Dart     |         24 |          0 |         13 |         37 |
| d:\Flutter Application\book_store\lib\AddressSetting\bloc\address_state.dart                       | Dart     |         12 |          0 |          7 |         19 |
| d:\Flutter Application\book_store\lib\AddressSetting\ui\add_address_page.dart                      | Dart     |        176 |          0 |          8 |        184 |
| d:\Flutter Application\book_store\lib\AddressSetting\ui\address_loading.dart                       | Dart     |        102 |          0 |          3 |        105 |
| d:\Flutter Application\book_store\lib\AddressSetting\ui\address_setting.dart                       | Dart     |        177 |          0 |          5 |        182 |
| d:\Flutter Application\book_store\lib\Authentication Service\auth_service.dart                     | Dart     |         60 |          1 |          9 |         70 |
| d:\Flutter Application\book_store\lib\Cart\bloc\cart_bloc.dart                                     | Dart     |        205 |          0 |         22 |        227 |
| d:\Flutter Application\book_store\lib\Cart\bloc\cart_event.dart                                    | Dart     |         36 |          0 |         16 |         52 |
| d:\Flutter Application\book_store\lib\Cart\bloc\cart_state.dart                                    | Dart     |         14 |          0 |          8 |         22 |
| d:\Flutter Application\book_store\lib\Cart\ui\cart_item.dart                                       | Dart     |        217 |          0 |          4 |        221 |
| d:\Flutter Application\book_store\lib\Cart\ui\cart_item_loading.dart                               | Dart     |        190 |          0 |          3 |        193 |
| d:\Flutter Application\book_store\lib\Cart\ui\cart_loading_page.dart                               | Dart     |        117 |          0 |          3 |        120 |
| d:\Flutter Application\book_store\lib\Cart\ui\cart_page.dart                                       | Dart     |        279 |          1 |          9 |        289 |
| d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_bloc.dart                  | Dart     |         51 |          0 |          7 |         58 |
| d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_event.dart                 | Dart     |         10 |          0 |          5 |         15 |
| d:\Flutter Application\book_store\lib\Category\ChildCategory\bloc\child_state.dart                 | Dart     |         15 |          0 |          6 |         21 |
| d:\Flutter Application\book_store\lib\Category\ChildCategory\ui\child_category_page.dart           | Dart     |        100 |          0 |          5 |        105 |
| d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_bloc.dart                  | Dart     |         51 |          0 |          7 |         58 |
| d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_event.dart                 | Dart     |         10 |          0 |          5 |         15 |
| d:\Flutter Application\book_store\lib\Category\ComicCategory\bloc\comic_state.dart                 | Dart     |         15 |          0 |          6 |         21 |
